Symbol,Company,Market
ACSEL.E,ACIPAYAM SELULOZ,N
ADEL.E,ADEL KALEMCILIK,N
ADESE.E,ADESE GAYRIMENKUL,N
AFYON.E,AFYON CIMENTO,N
AGYO.E,ATAKULE GMYO,N
AKMGY.E,AKMERKEZ GMYO,N
AKSUE.E,AKSU ENERJI,N
AKYHO.E,AKDENIZ YATIRIM HOLDING,N
ALCAR.E,ALARKO CARRIER,N
ALKA.E,ALKIM KAGIT,N
ALMAD.E,ALTINYAG MADENCILIK VE ENERJI,N
ANELE.E,ANEL ELEKTRIK,N
ARMDA.E,ARMADA BILGISAYAR,N
ARSAN.E,ARSAN TEKSTIL,N
ARZUM.E,ARZUM EV ALETLERI,N
ASUZU.E,ANADOLU ISUZU,N
ATEKS.E,AKIN TEKSTIL,N
AVGYO.E,AVRASYA GMYO,N
AVHOL.E,AVRUPA YATIRIM HOLDING,N
AVOD.E,A.V.O.D GIDA VE TARIM,N
AZTEK.E,AZTEK TEKNOLOJI,N
BAKAB.E,BAK AMBALAJ,N
BANVT.E,BANVIT,N
BAYRK.E,BAYRAK TABAN SANAYI,N
BEYAZ.E,BEYAZ FILO,N
BFREN.E,BOSCH FREN SISTEMLERI,N
BIZIM.E,BIZIM MAGAZALARI,N
BJKAS.E,BESIKTAS FUTBOL YAT.,N
BMSCH.E,BMS CELIK HASIR,N
BMSTL.E,BMS BIRLESIK METAL,N
BNTAS.E,BANTAS AMBALAJ,N
BOSSA.E,BOSSA,N
BRLSM.E,BIRLESIM MUHENDISLIK,N
BSOKE.E,BATISOKE CIMENTO,N
BURCE.E,BURCELIK,N
BURVA.E,BURCELIK VANA,N
CELHA.E,CELIK HALAT,N
CEMAS.E,CEMAS DOKUM,N
CEOEM.E,CEO EVENT MEDYA,N
CMBTN.E,CIMBETON,N
CRDFA.E,CREDITWEST FAKTORING,N
CRFSA.E,CARREFOURSA,N
CUSAN.E,CUHADAROGLU METAL,N
DAGHL.E,DAGI YATIRIM HOLDING,N
DAGI.E,DAGI GIYIM,N
DENGE.E,DENGE HOLDING,N
DERHL.E,DERLUKS YATIRIM HOLDING,N
DERIM.E,DERIMOD,N
DESA.E,DESA DERI,N
DESPC.E,DESPEC BILGISAYAR,N
DGATE.E,DATAGATE BILGISAYAR,N
DGGYO.E,DOGUS GMYO,N
DGNMO.E,DOGANLAR MOBILYA,N
DITAS.E,DITAS DOGAN,N
DMSAS.E,DEMISAS DOKUM,N
DNISI.E,DINAMIK ISI MAKINA YALITIM,N
DOCO.E,DO-CO,N
DOGUB.E,DOGUSAN,N
DOKTA.E,DOKTAS DOKUMCULUK,N
DURDO.E,DURAN DOGAN BASIM,N
DYOBY.E,DYO BOYA,N
DZGYO.E,DENIZ GMYO,N
EDATA.E,E-DATA TEKNOLOJI,N
EDIP.E,EDIP GAYRIMENKUL,N
EGEPO.E,NASMED EGEPOL,N
EMKEL.E,EMEK ELEKTRIK,N
ENSRI.E,ENSARI DERI,N
EPLAS.E,EGEPLAST,N
ERSU.E,ERSU GIDA,N
ESCAR.E,ESCAR FILO,N
ESCOM.E,ESCORT TEKNOLOJI,N
ETILR.E,ETILER GIDA,N
EUHOL.E,EURO YATIRIM HOLDING,N
FADE.E,FADE GIDA,N
FENER.E,FENERBAHCE FUTBOL,N
FLAP.E,FLAP KONGRE TOPLANTI HIZ.,N
FMIZP.E,F-M IZMIT PISTON,N
FONET.E,FONET BILGI TEKNOLOJILERI,N
FORMT.E,FORMET METAL VE CAM,N
FRIGO.E,FRIGO PAK GIDA,N
GEDZA.E,GEDIZ AMBALAJ,N
GENTS.E,GENTAS,N
GEREL.E,GERSAN ELEKTRIK,N
GLBMD.E,GLOBAL MEN. DEG.,N
GLRYH.E,GULER YAT. HOLDING,N
GMTAS.E,GIMAT MAGAZACILIK,N
GOLTS.E,GOLTAS CIMENTO,N
GRSEL.E,GUR-SEL TURIZM TASIMACILIK,N
GSDDE.E,GSD DENIZCILIK,N
GSRAY.E,GALATASARAY SPORTIF,N
GZNMI.E,GEZINOMI SEYAHAT,N
HATEK.E,HATAY TEKSTIL,N
HDFGS.E,HEDEF GIRISIM,N
HKTM.E,HIDROPAR HAREKET KONTROL,N
HUBVC.E,HUB GIRISIM,N
HUNER.E,HUN YENILENEBILIR ENERJI,N
HURGZ.E,HURRIYET GZT.,N
ICBCT.E,ICBC TURKEY BANK,N
IDEAS.E,IDEAL FINANSAL TEKNOLOJILER,N
IEYHO.E,ISIKLAR ENERJI YAPI HOL.,N
IHAAS.E,IHLAS HABER AJANSI,N
IHEVA.E,IHLAS EV ALETLERI,N
IHGZT.E,IHLAS GAZETECILIK,N
IHLAS.E,IHLAS HOLDING,N
IHLGM.E,IHLAS GAYRIMENKUL,N
IHYAY.E,IHLAS YAYIN HOLDING,N
IMASM.E,IMAS MAKINA,N
INTEM.E,INTEMA,N
ISGSY.E,IS GIRISIM,N
ISKPL.E,ISIK PLASTIK,N
ISYAT.E,IS YAT. ORT.,N
ITTFH.E,ITTIFAK HOLDING,N
IZFAS.E,IZMIR FIRCA,N
IZINV.E,IZ YATIRIM HOLDING,N
IZMDC.E,IZMIR DEMIR CELIK,N
KAPLM.E,KAPLAMIN,N
KARYE.E,KARTAL YEN. ENERJI,N
KATMR.E,KATMERCILER EKIPMAN,N
KFEIN.E,KAFEIN YAZILIM,N
KGYO.E,KORAY GMYO,N
KIMMR.E,KIM MARKET-ERSAN ALISVERIS,N
KLGYO.E,KILER GMYO,N
KLMSN.E,KLIMASAN KLIMA,N
KLSYN.E,KOLEKSIYON MOBILYA,N
KNFRT.E,KONFRUT GIDA,N
KRGYO.E,KORFEZ GMYO,N
KRONT.E,KRON TELEKOMUNIKASYON,N
KRSTL.E,KRISTAL KOLA,N
KRTEK.E,KARSU TEKSTIL,N
KTSKR.E,KUTAHYA SEKER FABRIKASI,N
KUTPO.E,KUTAHYA PORSELEN,N
KUYAS.E,KUYAS YATIRIM,N
LIDFA.E,LIDER FAKTORING,N
LINK.E,LINK BILGISAYAR,N
LKMNH.E,LOKMAN HEKIM SAGLIK,N
LUKSK.E,LUKS KADIFE,N
MAALT.E,MARMARIS ALTINYUNUS,N
MAKIM.E,MAKIM MAKINE,N
MAKTK.E,MAKINA TAKIM,N
MANAS.E,MANAS ENERJI YONETIMI,N
MARTI.E,MARTI OTEL,N
MEGAP.E,MEGA POLIETILEN,N
MEPET.E,METRO PETROL VE TESISLERI,N
MERCN.E,MERCAN KIMYA,N
MERIT.E,MERIT TURIZM,N
MERKO.E,MERKO GIDA,N
METRO.E,METRO HOLDING,N
METUR.E,METEMTUR YATIRIM,N
MIPAZ.E,MILPA,N
MNDRS.E,MENDERES TEKSTIL,N
MRGYO.E,MARTI GMYO,N
MRSHL.E,MARSHALL,N
MSGYO.E,MISTRAL GMYO,N
MTRKS.E,MATRIKS BILGI DAGITIM,N
MZHLD.E,MAZHAR ZORLU HOLDING,N
NIBAS.E,NIGBAS NIGDE BETON,N
NTGAZ.E,NATURELGAZ,N
OBASE.E,OBASE BILGISAYAR,N
OLMK.E,MONDI OLMUKSAN KAGIT VE AMBALAJ,N
ORCAY.E,ORCAY ORTAKOY CAY SANAYI,N
ORGE.E,ORGE ENERJI ELEKTRIK,N
OSMEN.E,OSMANLI MENKUL,N
OSTIM.E,OSTIM ENDUSTRIYEL YAT,N
OYLUM.E,OYLUM SINAI YATIRIMLAR,N
OZGYO.E,OZDERICI GMYO,N
OZRDN.E,OZERDEN PLASTIK,N
PAGYO.E,PANORA GMYO,N
PAMEL.E,PAMEL ELEKTRIK,N
PAPIL.E,PAPILON SAVUNMA,N
PCILT.E,PC ILETISIM MEDYA,N
PEGYO.E,PERA GMYO,N
PEKGY.E,PEKER GMYO,N
PENGD.E,PENGUEN GIDA,N
PETUN.E,PINAR ET VE UN,N
PINSU.E,PINAR SU,N
PKART.E,PLASTIKKART,N
PNLSN.E,PANELSAN CATI CEPHE,N
PNSUT.E,PINAR SUT,N
POLTK.E,POLITEKNIK METAL,N
PRDGS.E,PARDUS GIRISIM,N
PRKME.E,PARK ELEK.MADENCILIK,N
PSDTC.E,PERGAMON DIS TICARET,N
RALYH.E,RAL YATIRIM HOLDING,N
RNPOL.E,RAINBOW POLIKARBONAT,N
RTALB.E,RTA LABORATUVARLARI,N
RYSAS.E,REYSAS LOJISTIK,N
SAFKR.E,SAFKAR EGE SOGUTMACILIK,N
SAMAT.E,SARAY MATBAACILIK,N
SANFM.E,SANIFOAM ENDUSTRI,N
SANKO.E,SANKO PAZARLAMA,N
SAYAS.E,SAY YENILENEBILIR ENERJI,N
SEGYO.E,SEKER GMYO,N
SEKFK.E,SEKER FIN. KIR.,N
SEKUR.E,SEKURO PLASTIK,N
SELVA.E,SELVA GIDA,N
SEYKM.E,SEYITLER KIMYA,N
SILVR.E,SILVERLINE ENDUSTRI,N
SKTAS.E,SOKTAS,N
SMART.E,SMARTIKS YAZILIM,N
SONME.E,SONMEZ FILAMENT,N
SRVGY.E,SERVET GMYO,N
TDGYO.E,TREND GMYO,N
TEKTU.E,TEK-ART TURIZM,N
TETMT.E,TETAMAT GIDA,N
TGSAS.E,TGS DIS TICARET,N
TLMAN.E,TRABZON LIMAN,N
TMPOL.E,TEMAPOL POLIMER PLASTIK,N
TUCLK.E,TUGCELIK,N
TURGG.E,TURKER PROJE GAYRIMENKUL,N
ULUFA.E,ULUSAL FAKTORING,N
ULUSE.E,ULUSOY ELEKTRIK,N
ULUUN.E,ULUSOY UN SANAYI,N
UNLU.E,UNLU YATIRIM HOLDING,N
USAK.E,USAK SERAMIK,N
VAKFN.E,VAKIF FIN. KIR.,N
VBTYZ.E,VBT YAZILIM,N
VERTU.E,VERUSATURK GIRISIM,N
VKFYO.E,VAKIF YAT. ORT.,N
VKGYO.E,VAKIF GMYO,N
YAPRK.E,YAPRAK SUT VE BESI CIFT.,N
YAYLA.E,YAYLA EN. UR. TUR. VE INS,N
YEOTK.E,YEO TEKNOLOJI ENERJI,N
